,year,mainwords
0,2012,台湾 考研 乒乓球 现身 村官 担任 副局长 科技 事件 提携 独家 贯彻 称于 水河 招聘 运动员 热播 局长 专题 小康社会 使用 新生代 深潜 感受 全面 个人 交流 餐厅 时尚 奋进 累累 评书 演员 能量 电影 头部 引发 亲友 收集 烽火 系列报道 陷入 磕伤 失主 拍摄 昏迷 状态 落水 接力 颁奖典礼 捧场 品行 抓住 电影票 网票 励志 整理 不容 竞技 动作片 规划局 洋浦 晚辈 热血 宣传 组建 忘记 市民 负责人 要养 提供 号召 大胆 攻坚克难 支教 采访 力量 公务员 俱乐部 中心 可能 山区 单臂 殿堂 连派 智利 出国 辞掉 巴塞罗那 演出 都市生活 婚姻 撒谎 冲出 坚持 批露 巴萨 倒卖 私信 择优 大赛 跌倒 迎敌 页面 接受 试验 全过程 医院 手机号 收受 美丽 姓名 离开 战胜 血债 栏目 对手 留下 元润 奖品 独苗 售卖 表达 感言 共鸣 工作室 概括 网民 牺牲 短信 民族 日军 授予 告诉 追求 离婚 车子 面容 硕士 收到 名单 跟随 遇难 群体 提出 成才 价值观 情感 认同 辗转
1,2013,志愿者 创业 改革 梦想 创新 奋斗 行动 村官 小伙伴 志愿 公益 提供 美丽 励志 帮助 广西 举行 需求 上海 科技 看到 选择 企业 农村 决定 调研 基层 联欢 采访 交流 制度 实践 国际 参加 项目 父母 中心 中央 接受 游戏 价值 重庆 推动 部门 得到 频道 理想 力量 陕西 总书记 领域 城市 青网 爱心 主席 中东欧 朋友 房价 儿童 大会 员工 美国 声音 能量 广州 大赛 市场 中学 引导 要求 环境 河北 担当 政府 重点 来到 提出 支持 认为 坚持 政治家 解决 绿色 女儿 榜样 人才 农民工 总理 宣传 妈妈 洗衣机 深入 经历 地方 不会 景区 留学生 书记 值得 计划 公司 人物 开展 保护 岗位 变成 同志 喜欢 建立 关爱 启动 看来 网站 参与 带来 态度 准备 继续 参观 行业 政策 状态 相关 留守 导致 告诉 可能 内容 心理 报名 核心 思想 激情 购买 导游 引发 能够 相信 广东 实施 传播 家人 火灾 获得 经济 经验 爱国 热情 幼女 原因
2,2014,创业 新疆 创新 志愿者 梦想 奋斗 就业 交流 大赛 价值观 改变 提供 行动 支持 核心 奉献 会议 民族 父母 城市 公务员 农村 美国 选择 开展 启动 南京 毕业生 创造 举行 理想 能量 村官 参加 游戏 要求 免费 建设 政府 平台 总理 志愿 事件 全面 人才 帮助 影响 接受 召开 主席 住房 经济 手机 追求 担当 机会 能够 拥有 包括 鼓励 继续 提升 相信 事故 中心 家属 代言 责任 扩散 心理 演讲 国际 陕西 显示 宣传 合作 举办 机关 湖南 市场 跟着 不会 协会 部长 需求 参与 爱心 山西 面对 作用 群体 认为 践行 美丽 过程 婚礼 基层 大会 地方 频道 态度 方面 照片 喜欢 日本 指导 点亮 思想 政治 队伍 声音 科技 群众 产品 相关 开幕 负责人 加入 发挥 办法 加强 考虑 情况 进入 校长 制度 单位 电影 决定 部门 直播 属于 公司 讲话 检验 家庭 图片 发表 带来 出席 大量 传统 团干部 维护 起来 引导 看到 全球 计划 公平
3,2015,创业 平台 梦想 爱心 行动 可能 志愿者 扩散 家人 小伙伴 高考 妈妈 父亲 出现 帮助 爱国 就业 河南 医院 考试 民族 手机 创新 计划 能力 进入 中心 要求 男孩 美国 反映 相关 奋斗 参与 认为 父母 觉得 家庭 参加 志愿 责任 财道 走失 毕业 身体 照片 喜欢 中学 举行 重庆 建设 校园 起来 母亲 能够 大赛 看到 处理 总理 遇到 坚持 个人 决定 教师 儿童 派出所 规定 开展 事情 无法 公司 江苏 日本 群众 上学 情况 红色 引发 看看 拒绝 河北 只能 医生 理想 思想 支持 是否 继续 朋友 得到 单位 患者 心理 政策 暴力 机构 地方 导致 提供 国际 找到 网站 实习 遭遇 上海 湖南 会议 人员 现实 回应 蓝色 事业 广东 事件 小学 破坏 力量 关系 标准 贵州 维护 选择 能量 诉求 山东 人士 不会 改变 游客 警察 专家 造成 小孩 消息 推荐 传播 死亡 战法 准备 公益 知识 人贩子 女童 裤子 读书 呼吁 方面 疑似 失去 基础
4,2016,直播 创业 创新 志愿者 儿童 走失 爱心 地址 诈骗 梦想 扩散 河南 平台 红色 男孩 经济 身穿 家人 南海 看到 河北 电信 父母 台湾 中心 安徽 交流 公益 群众 蓝色 民族 江西 杭州 科技 联合 继续 贵州 山东 殴打 举行 暴力 裤子 母亲 教师 医院 喜欢 美国 小学 举办 黑色 启动 总书记 女童 参与 事件 父亲 湖南 妈妈 就业 建设 机遇 权益 山西 全球 嫌疑人 奋斗 灾区 小伙伴 绿色 校园 能力 提供 道路 手机 行动 湖北 面对 企业 网站 责任 发声 精彩 仪式 公安部 捍卫 起来 长征 栏目 股市 电话 推进 帮助 期待 采访 抗洪 灰色 中学 治疗 得到 参加 科学 彻查 大师 告诉 接受 派出所 方面 情况 传承 机会 重庆 控制 相关 影视 思想 出现 家庭 部分 宣传 开展 找到 微邦 毕业生 四川 爸爸 寻找 力量 团委 理想 医生 校方 计划 进入 急需 知识 传播 总理 轨迹 高考 专家 江苏 价值 处理 寄语 传统 朋友 受灾 改革 犯罪 留守
5,2017,直播 梦想 一带 创业 儿童 担当 传统 香港 民族 奋斗 能量 参与 校园 行动 父母 告诉 航天 妈妈 建设 国际 中心 感受 影响 启动 就业 创新 改变 运动 榜样 力量 全球 技术 公司 电影 可能 起来 面对 作品 经济 联合 手机 小伙伴 演讲 公益 基层 美国 责任 获得 看到 招聘 坚持 讲述 项目 合作 村民 参加 台湾 毕业生 志愿 举行 选择 母亲 成都 传承 地址 情况 能力 军人 上海 自信 寻找 群众 看看 加油 对话 山东 采访 命运 进入 要求 大会 来到 导演 理想 创造 无法 女童 乡村 觉得 同心 保护 仪式 高考 精准 大国 人类 考试 期待 地方 平台 家庭 机会 毕业 男孩 农村 高峰论坛 强军 继续 现实 铁路 红色 面试 城市 得到 扶贫 泰国 小哥 戏剧 峰会 医生 训练 表演 红军 金砖 心理 工人 共筑 暴力 遭遇 职业 观众 接受 维护 热血 事业 奋进 记得 思考 网红 交流 找到 学子 开讲 过程 脱贫 知识 举办 声音 帮助 相关
6,2018,奋斗 梦想 手机 直播 考研 起来 新生 国际 医院 举行 机器人 毕业 面对 乘客 创新 山东 消防员 情况 坚持 校园 力量 行动 带来 参加 妈妈 参与 高考 创业 改革 主席 民族 帮助 看到 获得 人员 选择 地方 出现 不会 讲述 小学 大国 武汉 群众 通道 继续 人才 高铁 志愿者 新疆 经济 大会 放弃 学子 四川 影响 音乐 地铁 科技 接受 毕业生 作品 精彩 建设 出彩 看看 准备 无法 喜欢 农村 公益 儿子 公交车 采访 部长 上海 感受 城市 红色 医生 找到 妻子 交通 制作 变化 乡村 儿童 西安 车辆 总书记 经典 村民 暴雨 来到 警察 家人 传承 家庭 举办 全球 保护 河南 绿色 身体 免费 总理 自信 企业 市民 脱贫 父亲 奶奶 提醒 经历 传统 完成 担当 教师 感谢 计划 考生 回答 训练 执勤 平台 战士 认为 进入 加油 可能 相关 联合 机会 决定 女儿 合作 告诉 记录 游客 美丽 杭州 改变 军训 会议 美国 建设者 大赛 政府 军营 全面
7,2019,香港 乡村 创新 建设 奋斗 互联网 经济 高质量 国际 时光 举行 直播 企业 参加 创业 审计 感受 传承 相关 保护 总书记 地震 校园 梦想 认为 大会 看到 力量 来到 中心 技术 联合 起来 儿童 职业 父母 会议 体验 长征 生态 参与 大赛 脱贫 准备 红军 民族 就业 群众 不会 宝盒 全球 新生 科技 快递 强国 政府 扶贫 改变 打造 澳门 进入 地方 警察 支持 上海 传统 产业 项目 提供 环境 情况 关键词 博物馆 开启 市民 手机 责任 精彩 结束 回答 选择 机器人 宣誓 集会 使用 面对 机会 采访 接力 城市 节目 暴力 推动 美丽 平台 位于 艺术 村民 能够 守护 音乐 帮助 职场 学子 药品 湖南 变成 小哥 可能 成立 演员 表达 见证 领域 管理 父亲 举办 保障 主席 态度 工作人员 传播 仪式 智能 广东 行业 行为 合作 坚守 比赛 是否 公司 春运 家乡 经历 个人 带来 期待 农村 成就 地球 审议 接受 推进 话题 攻坚 科研 毕业 觉得 坚持
8,2020,疫情 直播 肺炎 武汉 担当 防控 新冠 脱贫 力量 战疫 创业 铁路 医院 中心 总书记 建设 感受 湖北 抗疫 就业 攻坚 加油 起来 参与 可能 小组 志愿者 科学 平台 看到 讲述 聚焦 走红 奋斗 情况 传承 社区 乡村 行动 经济 篮球 音乐 患者 帮助 科技 助力 相关 介绍 毕业生 城市 传统 技术 隔离 个人 喜欢 全球 制作 数据 进入 国际 联合 小伙 队员 期待 做好 坚持 家乡 病毒 快递 创意 能够 疾病 觉得 医生 高铁 参加 抗击 高考 创新 春运 能力 项目 校园 扶贫 美食 妈妈 带来 儿童 教授 互联网 计划 机会 毕业 女儿 保护 人员 使用 知识 志愿 不会 感到 可爱 面对 梦想 实践 主播 继续 认为 阅读 职业 方面 公益 选择 企业 看看 开展 影响 夫妻 守护 美国 医疗 前线 产业 地方 母亲 小哥 四川 东北 消防员 上海 作品 指导 文字 医护人员 鼓励 重庆 启动 物资 原文 感染 管理 读书 金融 任务 基地 表演 经历 医护 思想 拍摄
9,2021,红色 疫情 直播 党史 建设 企业 疫苗 创新 国际 可能 传承 乡村 技术 经济 就业 参与 提供 选择 革命 梦想 运动 开展 思政 行为 相关 电影 铁路 奋斗 保护 平台 父母 情况 案例 讲述 冰雪 人员 全球 传统 新冠 环境 举行 香港 河南 支持 宣传 科技 大会 医生 中心 联合 教师 仪式 启动 引导 介绍 起来 新疆 城市 烈士 武汉 看到 征集 任务 科学 毕业 全面 认为 职业 坚持 面对 来到 消防员 领域 纪念币 战士 目标 父辈 参加 核酸 力量 行业 使用 牺牲 推动 医院 社会主义 互联网 管理 继续 政府 校园 知识 检测 开启 反诈 守护 火箭 事业 出现 病毒 数据 能力 数字 过程 合作 采访 帮助 文物 小学 标准 专家 建立 创作 消费者 红军 经历 担当 进入 志愿者 完成 抗疫 人权 群体 庆祝 作品 感受 方面 院士 上海 创业 保障 总书记 家乡 机器人 影响 助力 对话 基因 人类 做好 显示 公益 岗位 资源 提升 加强 政治 毕业生 民族 形式
